metric,carrot_mean,non_carrot_mean
performance_score,55.697610294117645,48.71470805617147
first_contentful_paint,2774.7053441258095,3076.808984984985
speed_index,3526.991357076781,5119.105135135134
largest_contentful_paint,5550.883791859389,6547.241536786787
interactive,11978.306711378353,13579.715491741741
total_blocking_time,1359.498061054579,2491.6014624624627
cumulative_layout_shift,0.04508510638297872,0.1406493993993994
